Date,SMALL LoOP,ME1 OP2,ME1 OP3,ME1 OP4,ME1 OP5,ME1 OP6,ME1 OP7,ME1 OP8,ME1 OP9,SMALL HiOP,ME2 OP1,ME2 OP2,ME2 OP3,ME2 OP4,ME2 OP5,ME2 OP6,ME2 OP7,ME2 OP8,ME2 OP9,ME2 OP10,ME3 OP1,ME3 OP2,ME3 OP3,ME3 OP4,ME3 OP5,ME3 OP6,ME3 OP7,ME3 OP8,ME3 OP9,ME3 OP10,ME4 OP1,ME4 OP2,ME4 OP3,ME4 OP4,ME4 OP5,ME4 OP6,ME4 OP7,ME4 OP8,ME4 OP9,ME4 OP10,ME5 OP1,ME5 OP2,ME5 OP3,ME5 OP4,ME5 OP5,ME5 OP6,ME5 OP7,ME5 OP8,ME5 OP9,ME5 OP10,ME6 OP1,ME6 OP2,ME6 OP3,ME6 OP4,ME6 OP5,ME6 OP6,ME6 OP7,ME6 OP8,ME6 OP9,ME6 OP10,ME7 OP1,ME7 OP2,ME7 OP3,ME7 OP4,ME7 OP5,ME7 OP6,ME7 OP7,ME7 OP8,ME7 OP9,ME7 OP10,ME8 OP1,ME8 OP2,ME8 OP3,ME8 OP4,ME8 OP5,ME8 OP6,ME8 OP7,ME8 OP8,ME8 OP9,ME8 OP10,ME9 OP1,ME9 OP2,ME9 OP3,ME9 OP4,ME9 OP5,ME9 OP6,ME9 OP7,ME9 OP8,ME9 OP9,ME9 OP10,BIG LoOP,ME10 OP2,ME10 OP3,ME10 OP4,ME10 OP5,ME10 OP6,ME10 OP7,ME10 OP8,ME10 OP9,BIG HiOP
196405,1.5131,0.4801,0.2361,-0.4764,4.7952,-0.4329,0.6593,-1.6921,2.2588,-1.8852,3.9191,-0.1258,-3.0286,-0.5209,2.1164,-1.6412,-4.8166,1.3952,-2.7674,-2.3487,4.0865,0.7442,-0.5083,2.4063,1.2182,3.6236,-0.2359,0.9608,4.1517,1.268,5.5371,4.8009,0.8193,0.17,-2.0259,0.4777,-2.1768,-2.5499,-1.3665,5.9098,-0.8625,1.8754,-2.418,1.2569,-0.5372,-1.2671,-0.0344,0.1194,-1.592,6.4069,3.1815,-0.7075,-3.6368,-1.57,1.6442,4.3765,-0.0164,-3.2945,1.0946,0.4376,4.1297,-0.0457,2.7019,1.4567,-0.804,0.3729,2.0714,1.7044,-1.8036,7.7345,0.3341,1.4175,4.5213,-0.0408,0.3436,4.3579,1.7392,0.7959,2.1361,2.2631,-10.1449,-1.2986,0.2422,2.3018,1.9233,0.1167,-0.3064,-0.4629,0.57,1.7384,2.5756,-1.9861,4.2446,1.3846,0.1129,-0.4293,1.0019,-0.1693,1.4598,2.796
196406,2.1863,-3.7078,0.6779,8.1602,-0.1931,3.798,-0.7219,3.5167,0.7614,3.6014,0.7519,-1.6308,3.0595,-2.6741,-0.619,-2.3198,4.4582,2.4988,3.162,-1.2784,3.8278,3.0373,1.625,3.3235,2.9826,-4.1756,-2.0505,-3.4353,2.2362,-0.5884,0.2811,-1.5459,2.3921,0.2227,5.4178,-3.8436,1.3349,-0.8179,2.35,3.9438,-1.249,2.107,3.4315,2.7041,0.725,5.3586,1.7787,3.1467,0.0979,2.5016,2.0759,1.3978,2.864,3.0035,3.9641,1.7314,-1.0764,0.7036,0.9089,0.767,3.0352,-1.8965,2.6499,0.3271,-1.5348,0.1962,1.2143,0.8343,0.3581,8.2765,0.3547,-0.2393,2.8537,1.0281,2.7815,3.1427,-0.9255,1.3423,-0.8015,0.8664,6.9892,1.1455,3.4373,-0.2616,3.1906,1.2917,1.7571,0.5757,-0.2541,1.0191,4.1872,2.0657,0.8144,0.3494,5.0152,2.9958,1.5189,-0.947,1.9626,0.3003
196407,3.7644,5.9333,5.3693,2.7516,2.76,2.2453,3.2829,5.0546,0.7461,5.6617,2.4864,1.2894,8.0677,-0.3204,-0.2281,4.3076,3.6486,-0.1723,3.0315,3.2292,3.9702,5.1718,4.2231,2.216,4.7733,4.4312,6.0043,6.9968,5.9971,3.8167,1.547,3.6771,0.4026,2.6159,1.4682,-1.5404,-1.4848,-1.6867,0.8853,3.1061,-1.0583,-0.6771,3.829,5.4776,4.3254,2.5786,3.2064,3.274,-1.5038,-0.2833,4.0031,0.8747,6.0056,2.9344,2.3403,5.163,4.1297,-0.3507,3.9616,-0.0738,-2.6071,2.1499,3.4317,0.1484,3.2257,2.338,3.5114,3.9782,0.3296,0.203,-1.4307,0.3733,2.3273,2.0065,0.871,0.3504,2.5875,3.2089,1.9946,1.2613,4.0177,2.4309,1.5045,0.046,2.2653,4.6506,4.5271,5.4173,3.8281,1.6339,-1.0788,3.6121,0.8515,2.2965,-1.2903,3.636,2.5487,1.9694,2.1923,2.3438
196408,-0.408,2.4156,-0.1748,-1.7414,-0.2605,-1.4513,-0.0398,-0.509,-2.5252,-1.9745,1.1266,-0.9114,-0.9434,-1.2144,-0.3637,-2.9448,-0.2977,-3.9481,-1.5807,1.3336,-2.4019,-1.6445,-2.3585,-2.9679,-2.2553,-2.4946,0.5402,-4.8131,0.617,1.3705,-3.072,-1.8954,-1.7199,-2.7987,-1.8909,-1.9139,2.8073,1.1195,-1.1475,-4.4556,-4.8529,-0.6088,-0.2014,-0.9676,-1.8188,-3.844,1.1658,0.7634,-5.3435,0.0172,-2.4804,-1.5284,-0.5315,-0.821,-0.2844,-2.1698,-2.1767,0.967,-0.1105,-6.1904,-3.2699,-0.8357,0.7522,4.6298,-2.1172,-0.0197,-1.9847,0.8374,-2.1647,-3.7929,0.7131,0.9719,1.2586,-0.0617,-0.0674,3.475,0.1521,-0.8158,-0.5728,-4.6436,-1.1202,-0.7586,-3.3983,-2.6719,0.2583,-2.0542,-3.2172,-0.5251,-2.3541,-3.7471,-5.9485,-2.0083,-1.8719,-2.8375,-1.8517,-0.4456,-0.963,-1.6507,-1.5461,-1.6311
196409,2.3567,9.6456,3.6488,4.6102,1.8447,5.6902,3.8436,4.561,5.0775,8.0881,0.1691,-0.4557,5.9074,6.0856,8.9066,1.505,4.4832,5.7725,6.1489,1.7816,4.6618,2.8671,1.3496,1.6525,1.2477,0.1669,-1.9877,-3.5298,5.4444,0.5607,7.1918,3.2466,1.4401,4.4347,1.5549,4.8867,-0.4595,0.0009,-4.0801,3.8881,3.202,1.5304,0.7937,1.0493,6.092,5.7919,-2.0459,2.5055,1.2097,2.3958,0.5252,-0.1612,4.788,4.7508,0.793,1.5545,-0.5572,2.4919,1.7191,3.7033,7.6033,2.7992,5.3909,-0.1605,2.0105,1.9009,3.5225,1.0942,4.2338,2.7107,0.2677,2.2318,5.4533,2.9251,4.2419,3.5796,1.0165,1.5311,6.5828,8.9052,16.5902,7.4621,4.3123,2.8989,3.1765,1.3812,2.6122,0.0412,2.7806,2.0375,1.8623,2.2955,4.498,3.4261,-0.101,2.5285,3.6175,5.1199,3.9475,2.3383
196410,3.6223,-0.2852,0.8791,2.8585,0.9462,1.4222,2.8888,5.8621,1.2853,2.6653,3.6269,-2.0801,0.9211,3.1303,0.7545,7.7702,0.8654,-0.635,0.4305,1.5637,3.8436,-0.5968,0.5907,0.6389,-0.3402,3.661,0.1228,-5.4725,-2.3272,5.0177,-4.1124,6.0359,0.8048,2.3149,0.5329,0.2907,3.5505,-1.5855,4.5969,2.141,1.5591,2.1326,-0.8842,3.2915,3.4989,-3.1188,1.7056,3.1184,9.1633,4.8221,2.0058,-0.0084,5.626,0.2732,2.8275,-0.1073,-3.9459,3.1804,2.7863,6.3682,1.2224,0.7671,3.7302,2.1285,0.8929,-0.1465,1.5737,0.218,0.1515,0.0519,1.3424,2.6447,3.5237,3.6479,2.4118,-1.7935,1.2383,4.0497,-1.0604,3.2955,-4.6346,1.0644,-1.0986,-0.8272,1.2046,0.7484,2.0073,1.5454,0.7334,-3.1435,1.2074,5.2594,-0.6943,2.8148,-0.337,-0.6534,2.5908,0.8511,-0.3737,-0.707
196411,-1.4113,-1.4118,-1.8524,0.2915,2.1112,-0.0038,-1.6795,0.907,-3.4501,1.0797,-3.4586,2.6071,-0.4174,3.4243,2.2852,0.3024,1.9332,-2.0729,0.4282,2.3479,0.607,0.1116,3.0907,-0.1167,1.167,-0.9252,-1.0249,-1.6397,1.7607,0.2969,-4.1874,-4.7364,-4.155,3.405,-1.8804,-3.4121,-3.415,-0.3668,7.6059,-1.9231,-1.473,-1.2536,1.5144,-1.6308,-0.2062,-4.9496,1.3485,3.2089,1.4599,-0.7988,-5.0373,-2.0997,3.9998,1.8508,-1.1907,2.2496,3.9697,-0.6156,1.7317,-0.1076,-3.9584,-0.2635,1.1412,-0.7893,-0.842,-0.4887,-2.3436,-1.3017,5.196,0.9249,-1.7046,1.3931,-0.0634,-0.1002,1.5606,0.9068,0.9456,0.3711,0.1975,-1.2352,-5.4107,-2.0115,-0.925,-0.1548,1.5324,0.6239,2.5645,0.4563,0.2987,0.9978,-6.578,3.899,0.8114,0.4353,-2.4693,0.5801,1.3496,0.1707,2.0075,-2.5184
196412,-1.8515,-0.0153,-0.2136,-2.2724,-3.2481,-4.8353,-1.2956,-0.7859,-1.7389,-1.9392,-0.8888,-2.3727,-3.9158,-5.8164,-3.1337,-4.0992,-2.3494,3.616,0.114,-4.9892,-1.526,-1.835,1.4622,-3.5838,-1.3167,-3.0377,2.86,3.0136,-1.2606,0.3062,1.0588,-1.7302,3.5145,4.3855,-1.8145,0.2972,0.9331,2.481,-1.5959,0.822,4.2406,-3.8809,1.2825,-1.6962,-1.158,-2.1821,1.9235,-2.0228,0.7194,0.1389,2.4679,-2.5131,-0.9678,-2.684,-0.6832,1.9163,-1.7524,-0.3056,-2.2226,0.7446,0.994,-3.1421,-1.064,-1.9329,0.1686,-0.4278,-0.2063,-1.3988,3.8978,1.523,-2.3584,-2.5468,-2.859,-1.7134,0.4629,1.4645,0.6022,0.29,-0.2115,-1.8818,-1.5255,-2.8038,-1.0526,-2.971,-2.4924,0.6284,-0.3257,-0.0953,2.5855,-1.1635,-4.3416,-0.6265,-0.2461,-1.4159,3.5596,0.014,-0.4385,0.9526,0.6939,1.2812
196501,8.3516,7.4588,6.6888,8.8246,8.4742,6.0495,8.6169,12.3133,12.2429,7.231,3.3173,6.3826,7.1624,8.7336,5.3071,2.0072,7.3065,4.6667,3.9546,10.659,2.8527,4.4303,2.8278,5.8297,5.2116,6.1168,2.3243,19.2319,8.1548,13.0716,6.2072,10.0228,6.0506,3.4071,5.882,6.2251,6.3398,4.3818,6.7625,3.6114,4.633,8.195,4.5727,7.4519,5.3561,2.2515,6.2476,5.0807,14.7321,4.6536,2.1728,8.9241,6.9459,8.1312,3.3784,3.5223,9.1519,3.9959,6.5999,5.8701,9.3929,5.7862,7.4049,2.8416,2.7095,3.4906,7.1727,3.5288,10.9871,5.6906,9.3701,9.676,4.6663,5.0729,5.1507,2.6352,3.2921,6.5222,3.591,9.6278,12.7092,6.193,4.2743,1.826,4.2409,5.6983,5.8852,3.8091,3.2847,5.6679,6.9792,2.0186,2.1709,-0.918,0.1727,3.6055,4.6904,4.0684,4.9094,6.0913
196502,2.2984,0.8508,2.1427,2.6814,2.1501,4.332,7.6352,1.7861,4.6571,3.6571,1.2172,2.1258,2.066,0.3661,7.4075,1.9945,0.2347,4.199,3.7542,4.1287,3.1257,1.777,1.0569,-1.1676,6.4321,5.5216,1.8336,6.3839,0.9627,5.3168,4.0498,4.77,3.3501,2.6801,7.575,1.6534,4.5882,1.2888,-0.2209,3.067,9.2802,6.5199,1.0293,7.7485,5.9749,7.2649,0.91,1.5918,15.1751,7.1536,-1.5205,1.6935,5.2302,1.1025,3.7908,5.4914,-3.3294,1.5457,1.3879,10.8921,1.0931,3.4635,1.4557,2.6884,2.5412,-0.2539,2.3858,1.5742,2.8082,4.8999,-0.323,2.4405,0.6091,7.4619,2.6147,3.0715,3.4428,1.1009,1.8178,7.0343,5.6685,1.8624,1.314,2.8203,0.8358,1.842,2.0258,4.3076,2.6871,5.8534,-3.3511,1.0604,-2.3151,-4.3984,-0.0677,0.7464,-0.1973,0.281,-0.9736,0.1574
196503,0.9401,4.3458,7.4632,-0.3657,2.6432,8.0401,0.1009,2.2575,-2.3854,3.5727,1.8566,1.3698,2.8429,4.4524,0.997,1.7327,-0.8711,-2.3072,2.4257,0.8471,0.0727,1.7067,0.0216,0.4447,-1.6164,-3.1033,-1.2131,5.0607,2.2999,8.1083,-1.5453,0.1687,-1.5247,-0.0984,2.2594,-1.1375,1.8675,-0.6275,1.1448,-1.126,-1.691,-0.4824,1.5123,1.6953,0.0352,-1.855,1.0766,1.9721,-6.0811,-3.9593,0.1804,-0.1568,-1.4222,1.3254,0.8664,-1.8993,-4.9903,1.7736,0.3212,-1.6068,0.6211,-1.038,0.9362,-1.3918,0.4539,-1.5222,-1.6593,-0.2847,-4.8872,-1.3432,1.7772,0.6005,2.1388,-1.5918,2.3361,-1.124,0.3721,-2.4633,-1.4691,-1.636,-3.5672,0.3287,1.7929,-1.136,-0.7893,-1.9466,0.3867,-1.1021,-1.1817,-0.7741,-4.4631,-3.97,-1.4179,-3.2004,-2.1044,0.6662,-0.4459,-1.3261,-2.8893,-0.6517
196504,3.6455,3.5061,8.7797,7.7964,4.1572,0.7234,5.8889,0.973,8.3921,5.1384,1.7766,3.189,1.4965,3.1421,6.6146,4.2884,4.2106,4.0334,2.5459,7.2832,1.5185,3.4813,5.393,1.3011,6.9847,-0.5719,1.8045,7.0035,1.6742,0.345,3.6874,6.6726,4.2334,2.974,9.2801,6.375,-0.2353,4.7231,5.7845,4.1732,12.831,8.1988,3.5102,2.8447,5.7139,8.6863,5.5883,5.5725,1.0791,2.8228,-1.2105,3.1539,3.8522,2.8524,2.1734,4.0542,0.7712,4.7752,3.4021,2.8313,5.2015,4.3183,7.34,2.244,6.3269,-0.2129,2.8606,2.3076,1.8172,5.1241,11.1403,5.1902,3.2913,0.4713,5.4737,2.9912,2.1213,2.3973,4.2056,4.6616,3.8606,6.5639,1.5725,1.4466,3.6793,1.189,2.0109,3.5183,4.1877,1.4504,1.874,1.611,0.947,1.4039,4.3586,1.3189,2.8745,3.7072,3.0878,5.8295
